Title,Url,Npub,Desc,Source,Date,大分類,小分類,技術・プラットフォーム,Picture,Featured
ぶろっくをわくにはめるやつ,https://unityroom.com/games/pu,,ブロックを枠にはめるゲーム\nこういうゲームの配信をしているところを見て作ってみた\nブロックの立体感を出すためにblenderで素材を作成\n出口（ドア）は手書き,,Jan.2023,ゲーム,Webゲーム,"Unity, C#, Blender",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/38484/icon_20221231_194559.png,
そーとするやつ,https://unityroom.com/games/sort_suruyatu,,スマホゲームストアでよく見るゲーム,,Dec.2021,ゲーム,Webゲーム,"Unity, C#",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/30237/icon_20220320_211334.png,
てとりす,https://unityroom.com/games/teto,,初めてUnityで作ったゲーム\nテトラ以外のミノも設定できる\nホールドもできる,,Oct.2021,ゲーム,Webゲーム,"Unity, C#",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/30756/icon_20220412_015457.png,
tohu,https://unityroom.com/games/tohu,,パズロムという雑誌に収録されていた スクールユミちゃん というゲームをUnityで再現したもの\n元はパソコンゲームだが、スマホでもプレイできるようにボタンを設置\n素材はほぼほぼExcelで作成,https://github.com/TsukemonoGit/scym,Dec.2021,ゲーム,Webゲーム,"Unity, C#",https://object-storage.tyo1.conoha.io/v1/nc_df3bdbc45bc04950b558834f5728517a/unityroom_production/icon/51230/icon_20230730_144513.png,
Unityroom,https://unityroom.com/users/ltoyvre,,ltoyvre,,,アカウント,,,,
npm,https://www.npmjs.com/~konemono,,konemono,,,アカウント,,,,
Zenn,https://zenn.dev/konemono,,Nostrでいろいろやった話とかの記事,,,アカウント,,,,
うちの温度と湿度と気圧Bot,https://zenn.dev/konemono/articles/4fafb0d14ffcbd,npub1sm73eqxq0h4mc0ge9ymhkfx5haj6skhjdzh3tndz4n8y2n0kwzlq57nl7v,M5Stack Core2 と 温湿度気圧センサーユニット を使って、部屋の温湿度気圧情報をNostrに一時間おきに投稿するBot\n公開されるため、温度の上げ過ぎ下げすぎに気をつけることができる。,https://github.com/TsukemonoGit/M5MyRoomNostr,May.2023,Bot,自動投稿Bot,"Nostr, M5Stack, microPython, IoT",,
@konemono/nostr-content-parser,デモのサイト公開するようにする？今のところサイト作ってないnpmサイトくらいしか,,NostrのContentパーサー。:emoji:とかurlとかnostr:とかで分ける\nnpm install @konemono/nostr-content-parser,https://github.com/TsukemonoGit/nostr-content-parser,Jun.2025,ライブラリ・コンポーネント,ライブラリ,"Nostr, Parser",,
@konemono/svelte5-i18n,今のところサイト作ってないnpmサイトとGITHUBしかない,,svelte5 の i18n \nnpm i @konemono/svelte5-i18n,https://github.com/TsukemonoGit/sve5-i18n,May.2025,ライブラリ・コンポーネント,ライブラリ,"Svelte5, i18n",,
